,Lon,Lat,Date,Station,Track
428,-66.64825333,44.80848667,25-Sep,,
429,-66.65464833,44.81187833,25-Sep,,
430,-66.65566333,44.81237833,25-Sep,,
431,-66.65891833,44.81415667,25-Sep,,
432,-66.66273,44.81616,25-Sep,,
433,-66.67554333,44.82311833,25-Sep,,
434,-66.67863333,44.824875,25-Sep,,
435,-66.688505,44.83033833,25-Sep,,
436,-66.69091667,44.83159667,25-Sep,,
437,-66.69845167,44.83577333,25-Sep,,
438,-66.704045,44.83879667,25-Sep,,
439,-66.711945,44.84325667,25-Sep,,
440,-66.71331833,44.84398833,25-Sep,,
441,-66.72115667,44.84839833,25-Sep,,
442,-66.73116833,44.85374167,25-Sep,,
443,-66.73587667,44.85640667,25-Sep,,
444,-66.739835,44.85857833,25-Sep,,
445,-66.74531667,44.86167667,25-Sep,,
446,-66.746565,44.86228,25-Sep,,
447,-66.752985,44.86565833,25-Sep,,
448,-66.76243167,44.87054333,25-Sep,,
449,-66.76851833,44.87375,25-Sep,,
450,-66.775,44.87729833,25-Sep,,
451,-66.77966833,44.87993833,25-Sep,,
452,-66.78172833,44.88103167,25-Sep,,
453,-66.78475333,44.882735,25-Sep,,
454,-66.786835,44.88386333,25-Sep,,
455,-66.78828333,44.88458833,25-Sep,,
456,-66.79234167,44.88681667,25-Sep,,
457,-66.79859833,44.89004,25-Sep,,
458,-66.80123333,44.89146167,25-Sep,,
459,-66.80371833,44.89264833,25-Sep,,
460,-66.80563333,44.89362833,25-Sep,,
461,-66.8075,44.89465167,25-Sep,,
462,-66.808735,44.89526333,25-Sep,,
463,-66.81026,44.89609333,25-Sep,,
464,-66.812435,44.89718667,25-Sep,,
465,-66.81362333,44.89784167,25-Sep,,
466,-66.815135,44.89858667,25-Sep,,
467,-66.82469,44.90385667,25-Sep,,
468,-66.83190667,44.90772667,25-Sep,,
469,-66.84339333,44.91380333,25-Sep,,
470,-66.84906,44.917045,25-Sep,,
471,-66.85570333,44.92076667,25-Sep,,
472,-66.85822,44.92223,25-Sep,,
473,-66.86174667,44.92420167,25-Sep,,
474,-66.864175,44.92568,25-Sep,,
475,-66.86625167,44.92688167,25-Sep,,
476,-66.86969667,44.92865833,25-Sep,,
477,-66.87329833,44.93037333,25-Sep,,
478,-66.87598333,44.931735,25-Sep,,
479,-66.87958333,44.933695,25-Sep,,
480,-66.88241333,44.93529167,25-Sep,,
481,-66.888095,44.93862667,25-Sep,,
482,-66.890485,44.93990833,25-Sep,,
483,-66.892235,44.94091167,25-Sep,,
484,-66.89474167,44.942445,25-Sep,,
485,-66.896975,44.94375667,25-Sep,,
486,-66.89826833,44.944455,25-Sep,,
487,-66.89900667,44.94490833,25-Sep,,
488,-66.899685,44.94528333,25-Sep,,
489,-66.9012,44.94599833,25-Sep,,
490,-66.90294,44.94676667,25-Sep,,
491,-66.904625,44.94745333,25-Sep,,
492,-66.90580667,44.947965,25-Sep,,
493,-66.90988167,44.94994333,25-Sep,,
494,-66.91017,44.95005,25-Sep,,
495,-66.91038,44.95007833,25-Sep,,
496,-66.91068833,44.95003667,25-Sep,,
497,-66.91097167,44.949935,25-Sep,,
498,-66.91130167,44.94973833,25-Sep,,
499,-66.91157833,44.9495,25-Sep,,
500,-66.91205667,44.94897667,25-Sep,,
501,-66.91321167,44.94741167,25-Sep,,
502,-66.91339333,44.94722667,25-Sep,,
503,-66.913845,44.94690833,25-Sep,,
504,-66.91501833,44.94618167,25-Sep,,
505,-66.91657167,44.945285,25-Sep,,
506,-66.91798,44.944675,25-Sep,,
